latitude,longitude,wpd_median,color_wpd_median,ghi_median,color_ghi_median,wpd_mean,color_wpd_mean,ghi_mean,color_ghi_mean,wpd_availability,color_wpd_availability,ghi_availability,color_ghi_availability,wss,color_wss,scw,color_scw,wcs,color_wcs,wind_ep_length,color_wind_ep_length,solar_ep_length,color_solar_ep_length,solar_ep_lull,color_solar_ep_lull,wind_ep_lull,color_wind_ep_lull
6.84,93.84,177.21582,165,450.18115,450,276.17673,285,464.12106,450,43.55022831,50,77.72895467,80,26.66666667,30,21.74657534,30,4.920091324,5,34.05357143,30,8.824146982,7,5.327978581,3,44.15178571,45
6.96,93.84,181.23073,195,462.5,450,278.37363,285,466.9837,450,43.77853881,50,78.1712963,80,26.63242009,30,21.75799087,30,4.874429224,5,31.68595041,30,9.157181572,10,5.391836735,3,40.70247934,45
7.08,93.72,185.00073,195,459.3358,450,279.92368,285,464.9444,450,44.15525114,50,78.25584085,80,26.49543379,30,21.59817352,30,4.897260274,5,31.69672131,30,9.145945946,10,5.377717391,3,40.09836066,45
7.08,93.84,184.68375,195,460.00742,450,280.39426,285,467.44388,450,44.05251142,50,78.42774566,80,26.52968037,30,21.67808219,30,4.851598174,5,31.11290323,30,9.267759563,10,5.396174863,3,39.52419355,45
7.2,93.84,185.94975,195,466.2705,450,282.50302,285,468.6822,450,44.45205479,50,78.11198519,80,26.33561644,30,21.41552511,30,4.920091324,5,29.49242424,28,9.226775956,10,5.416666667,3,36.86363636,45
7.92,93.36,203.45078,195,466.49997,450,300.89868,315,469.4641,450,45.60502283,50,78.25785582,80,26.18721461,30,21.13013699,30,5.057077626,7,27.35616438,28,9.254098361,10,5.403005464,3,32.6369863,45
8.04,93.48,205.13898,195,470.18048,450,303.3994,315,470.99503,450,45.84474886,50,78.38150289,80,26.16438356,30,21.00456621,30,5.159817352,7,26.07142857,25,9.18699187,10,5.376870748,3,30.80519481,45
8.16,77.28,164.5813,165,561.3387,570,314.30832,315,541.9247,570,43.23059361,50,81.95436737,90,25.77625571,30,21.99771689,30,3.778538813,5,26.66901408,25,9.715846995,10,5.172131148,3,34.76923077,45
8.16,77.4,210.46262,225,565.5,570,369.89926,315,542.76086,570,47.6369863,50,81.69241411,90,23.91552511,30,19.7260274,20,4.189497717,5,29.80714286,28,9.709589041,10,5.195622435,3,32.5248227,45
8.16,77.52,342.41782,315,566.025,570,470.26068,315,544.7012,570,56.98630137,60,81.47208122,90,19.65753425,20,14.65753425,20,5,7,29.01744186,28,9.623978202,10,5.19781719,3,21.90697674,15
8.16,77.64,514.8081,315,574.25,570,593.68933,315,547.3076,570,69.23515982,70,81.62511542,90,16.19863014,20,10.21689498,20,5.98173516,7,40.97297297,30,9.661202186,10,5.199453552,3,18.33333333,15
8.16,93.48,206.17682,195,468.5,450,306.4199,315,470.56992,450,46.02739726,50,78.50380974,80,26.05022831,30,20.90182648,30,5.148401826,7,26.69536424,25,9.216802168,10,5.361904762,3,31.31125828,45
